	Iozone: Performance Test of File I/O
	        Version $Revision: 3.429 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sat May  2 05:48:13 2020

	Auto Mode
	O_DIRECT feature enabled
	Command line used: iozone -aI
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
           16384     128   267249   288196   277216   275760   210843   334312   188235    275983    171291   533317   769743   818051   807174
           16384     256   300689   321601   269850   281357   276048   372651   228785    295355    224919   560619   795108   469819   480160
           16384     512   329226   336918   332082   331170   314133   395414   262480    283896    272010   569441   813259   469251   453573
           16384    1024   519371   506460   587577   587618   556880   637585   411080    637461    373143   591696   840339   502714   510930
           16384    2048   591757   545207   568315   597805   557354   693969   459874    689360    464333   593556   818743   801180   738785
           16384    4096   635210   595975   732571   733157   722907   625964   589205    634840    516684   639746   906149   829696   801918
           16384    8192   546351   700405   744960   791117   740960   709664   655021    540048    552617   629139   990439   783433   720520
           16384   16384   536214   559696   870695   867661   863952   656360   856500    616308    839344   411410   506505   780301   710993
           32768      64   222060   257169   230874   229398   145223   273679   129370    235373    124205   477862   678510   751337   676969
           32768     128   281875   309730   288314   288407   205703   333435   197988    281879    179468   502100   712906   778136   700037
           32768     256   324882   342446   320309   319750   277700   371312   265945    305589    245489   519435   742380   785523   710187
           32768     512   357183   367194   325092   324407   318136   393794   298762    296149    268603   533619   753235   803629   720904
           32768    1024   526402   437233   604643   583392   583278   503342   491252    558189    487134   539675   761781   798674   723672
           32768    2048   528719   524346   659249   651892   615987   548372   542255    587828    451261   555569   794358   798553   720145
           32768    4096   469825   469166   750115   735054   738514   579144   638218    570203    524875   553364   777506   798247   723021
           32768    8192   576373   569452   806794   790602   795323   595748   725628    628051    645523   455194   366516   433645   408064
           32768   16384   579760   572126   838099   833474   852515   554901   841522    553027    802016   335751   406838   431868   408029
           65536      64   230920   270464   232059   230405   145094   276360   148536    279505    106929   499965   707853   433249   409989
           65536     128   295314   322567   287430   287208   211859   334488   205098    300311    136937   534603   754224   442721   419774
           65536     256   340935   360068   315440   314552   270166   373354   273433    266393    191724   523865   734255   786134   711210
           65536     512   370707   381335   335170   335457   321032   394940   310977    276810    254519   535333   740847   791699   716460
           65536    1024   525393   527376   597967   598879   573287   570156   513629    599328    436860   562835   794358   449553   426483
           65536    2048   447046   491196   666409   664894   605636   554689   571159    559539    521185   566464   801692   450993   427473
           65536    4096   596915   522482   760701   757415   714973   534233   673649    510428    593435   518681   696472   457366   433889
           65536    8192   559902   587408   763003   765429   760226   605463   739291    552458    659116   315997   341290   452568   427976
           65536   16384   548758   548387   859184   836795   832139   555272   849196    602745    801947   290962   314778   445995   421172
          131072      64   233797   274928   241812   242047   121996   274650   101197    269461     77052   502280   709425   436793   425664
