	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 32 bit mode.
		Build: linux-arm 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Thu Feb 20 22:24:28 2020

	Auto Mode
	O_DIRECT feature enabled
	Command line used: ./iozone -aI
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            8192      16     9049     9332    19017    19028    18868    10041    19088     10350     19098   257116   441926   469082   635681
            8192      32    13270    13724    25364    25369    25286     3924    25167     16219     25256   277345   354986   683343   662039
            8192      64    19943    17647    30158    30154    30062    15348    30236     12856     30244   235300   345800   684937   665476
            8192     128    24493    25955    33398    33423    33411    22080    33401     21909     33369   262725   339607   447213   661759
            8192     256    28667    28222    35631    35662    35626    28690    35732     27648     35672   280799   356218   667376   642060
            8192     512    29318    30034    36482    36454    36465    30409    36459     27518     36465   271023   436437   569956   557726
            8192    1024    35805    33994    40006    40010    40001    34621    39991     30786     39957   263222   458289   544504   535350
            8192    2048    32734    32129    42879    42870    42866    33182    42849     33521     42850   285216   388448   433119   527938
            8192    4096    32449    32482    42370    42369    42376    28552    41637     30459     42331   316330   490805   442975   528247
            8192    8192    32662    32748    43445    43463    43440    33802    43461     32531     43401   299230   368675   419713   530015
           16384       4     2357     2424     7814     7814     7730     3538     7905      3561      7889   250061   390374   484063   572524
           16384       8     4512     4669    12364    12396    12235     6368    12995      6387     12981   254659   356990   526328   620677
           16384      16     8972     9483    19118    19110    18986     4096    19062     10024     19022   283709   389407   561306   652100
           16384      32    14984    15143    25395    25380    25250    15978    25221      8898     25214   283503   380296   686043   661496
           16384      64    20272    20081    30130    30166    30063    10163    30267     11714     30201   286979   402584   572648   670978
           16384     128    25712    25788    33459    33453    33399    22062    33431     22019     33350   275875   455781   552208   681586
           16384     256    30241    30809    35621    35631    35594    26690    35704     25576     35707   299913   376756   551649   648512
           16384     512    31491    32067    36484    36482    36465    31640    36488     28209     36496   285361   365412   491127   557888
           16384    1024    34794    36174    40032    40030    40011    33062    39982     32157     39993   278543   370719   471398   529626
           16384    2048    32297    33885    42378    42795    42784    32926    42811     33830     42889   291571   401626   467565   526631
           16384    4096    23106    26634    42314    42319    42302    29763    42298     30661     42326   297382   463204   477471   530571
           16384    8192    33153    32961    43498    43483    43479    33609    43502     32325     43433   319956   611025   492486   532330
           16384   16384    33672    32339    44053    44096    44089    33104    43945     33487     43931   307144   409549   483903   511984
           32768      64    21679    21129    30107    30111    30020    15083    30252     12737     30191   316055   427340   626480   682625
           32768     128    26473    26532    33182    33197    33138    17703    33373     19167     32692   300737   430240   628172   677934
           32768     256    28340    30251    35626    35621    35602    26593    35734     26543     35395   298838   408131   615628   664274
           32768     512    32771    33122    36485    36478    36463    30843    36478     29310     36477   291333   384578   533785   571360
           32768    1024    34084    34534    39930    39936    39929    32869    39956     33367     39951   276324   389766   508085   536881
           32768    2048    33574    33611    42795    42795    42783    32093    42848     33135     42888   277565   396241   499716   524062
           32768    4096    32795    31787    42238    42244    42240    31519    42260     31491     42360   287769   434013   505272   526400
           32768    8192    32723    33667    43431    43430    43419    31500    43435     32517     43440   310561   504526   516600   531611
           32768   16384    32883    32903    43973    43973    43960    32708    43981     33560     44046   335177   732688   536046   533186
           65536      64    20463    21652    29913    29919    29805    15306    29554     11158     29673   316963   442398   658600   673994
           65536     128    22423    26332    33226    33229    33171    19343    32902     20949     32885   319239   442218   646726   658130
           65536     256    30585    30878    35632    35626    35598    26728    35455     28121     35206   306652   420159   659295   660597
           65536     512    33082    32979    36453    36450    36438    30982    36447     29649     36163   298015   400339   557454   567141
           65536    1024    32941    35164    39934    39935    39919    33845    39944     34231     39870   291721   394346   515787   523805
           65536    2048    33570    33788    42705    42707    42688    31970    42615     33106     42643   286357   399361   518911   528294
           65536    4096    31816    31754    42186    42187    42178    21390    42129     31641     42364   290653   414776   525002   529570
           65536    8192    30128    32348    43362    43347    43355    32835    43345     32542     43423   295990   448143   527699   533559
           65536   16384    32808    32827    43955    43961    43960    33102    43989     32884     43956   312989   528580   543844   530724
          131072      64    21092    19255    29832    29838    29759    15114    28895     11827     29660    93228    90017   711708   680769
          131072     128    26380    26639    33119    33129    33074    19765    32429     16990     32742    86574    88407   695039   693139
          131072     256    30185    30510    35563    35570    35550    23852    35329     28080     35157    84307    83957   681994   675315
          131072     512    33063    32939    36420    36423    36407    30009    36297     31716     36167    81381    83970   589309   580154
          131072    1024    34974    35033    39908    39910    39895    32781    39721     34148     39738    82074    83028   547632   545285
          131072    2048    33076    33154    42710    42719    42701    31978    42428     33219     42194    82045    84547   550234   545274
          131072    4096    32005    31684    42152    42155    42109    31926    41916     31856     41668    86639    87888   557255   548324
          131072    8192    30901    32816    43342    43334    43322    32429    43289     32922     43407    94922    97939   564911   551710
          131072   16384    32931    28550    43938    43934    43934    32590    43914     33041     44075   104894   112183   586855   565140
          262144      64    21367    21430    29744    29777    29576    13334    28694     11037     29637    47045    35375   887050   832200
          262144     128    26367    26728    33108    33079    32978    21176    32487     19460     32714    36440    36498   881206   831258
          262144     256    30758    31046    35557    35534    35484    26278    35263     25312     35077    36252    45332   849024   809338
          262144     512    33191    33414    36414    36418    36359    29644    36207     31126     36144    45120    36474   723874   696404
          262144    1024    35222    35335    39885    39911    39879    33110    39635     34000     39507    36585    44993   663565   638487
          262144    2048    33454    33447    42672    42665    42620    31717    42262     32959     42239    36127    42754   665955   639074
          262144    4096    31955    31974    42140    42147    42064    31683    41720     31680     42081    35982    44742   674453   644840
          262144    8192    32797    32641    43298    43311    43259    32341    43184     31200     43294    36038    41885   670779   634594
          262144   16384    32663    32779    43909    43908    43867    32777    43758     32714     43960    51845    52220   693968   658290
          524288      64    20094    19659    29781    29778    29523    11816    28436     11753     29683    38571    39992   936889   873581
          524288     128    26327    25566    33059    33056    32919    19659    32236     20953     32166    39098    39947   936817   869359
          524288     256    30526    30687    35573    35581    35551    26071    35118     25182     34997    39327    40110   904691   847272
          524288     512    32333    33198    36426    36436    36412    30677    36145     30995     36088    38506    40073   769102   725468
          524288    1024    35186    34727    39899    39914    39895    32781    39550     33839     39531    38029    40031   694876   661314
          524288    2048    33563    33564    42688    42694    42675    29159    41499     31600     40906    39266    39387   650785   159129
          524288    4096    29585    29804    41472    41397    41378    31040    41633     31810     41953    39227    38386   641482   616673
          524288    8192    30578    32325    43296    43295    43261    32142    43278     30970     43302    39703    40954   642524   617108
          524288   16384    32744    32671    43887    43901    43882    31599    43806     32749     43900    40096    41367   649429   621391

iozone test complete.
